source,target,weight,shared_episode_count,association_strength,display_width
Clive Mossmoon,Weissmann / Blicero,0.12868,4,0.30151,0.2839
Ernest Pudding,Myron Grunton,0.12815,4,0.56569,0.2833
Myron Grunton,Tyrone Slothrop,0.12815,4,0.26375,0.2833
Gottfried,Pirate Prentice,0.12727,1,0.08909,0.2823
Enzian,Maria (Christian's sister),0.1263,3,0.36116,0.2812
Thomas Gwenhidwy,Tyrone Slothrop,0.12606,4,0.26375,0.281
Osbie Feel,Tyrone Slothrop,0.12589,3,0.19781,0.2808
Emil Säure Bummer,Gerhardt von Göll,0.12535,8,0.53936,0.2802
Eddie Pensiero,Laszlo Jamf,0.125,1,0.2132,0.2798
Ilse Pökler,Peter Sachsa,0.12462,2,0.40825,0.2794
Clive Mossmoon,Pirate Prentice,0.12326,5,0.41667,0.2778
Enzian,Joseph Ombindi,0.12312,4,0.41703,0.2777
Clive Mossmoon,Roger Mexico,0.12289,5,0.41667,0.2774
Drohne,Greta Erdmann,0.12195,1,0.28868,0.2764
Dzabajev,Tyrone Slothrop,0.12121,1,0.08513,0.2755
Allen Lamplighter,Roger Mexico,0.12049,3,0.40825,0.2747
Edwin Treacle,Tyrone Slothrop,0.12048,3,0.19781,0.2747
Otto,Tchitcherine,0.11966,2,0.27217,0.2737
Ilse Pökler,Weissmann / Blicero,0.11957,1,0.12309,0.2736
Clive Mossmoon,Ernest Pudding,0.11918,5,0.55902,0.2732
Clive Mossmoon,Sir Marcus Scammony,0.11905,1,0.25,0.273
Clive Mossmoon,Tchitcherine,0.11905,1,0.08333,0.273
Ned Pointsman,Sir Marcus Scammony,0.11905,1,0.15811,0.273
Sir Marcus Scammony,Tchitcherine,0.11905,1,0.16667,0.273
Katje Borgesius,Roger Mexico,0.11814,4,0.2163,0.272
Ernest Pudding,Laszlo Jamf,0.11702,4,0.26968,0.2707
Franz Pökler,Lyle Bland,0.11651,4,0.50395,0.2701
Pavel,Tyrone Slothrop,0.11547,3,0.22116,0.2689
Magda,Seaman Bodine,0.11541,2,0.3849,0.2688
Dr. Rollo Groast,Ned Pointsman,0.11512,4,0.36515,0.2685
Tyrone Slothrop,Webley Silvernail,0.11503,5,0.30096,0.2684
Ernest Pudding,Jessica Swanlake,0.11487,5,0.47673,0.2682
Enzian,Geli Tripping,0.1143,6,0.44233,0.2675
Andreas Orukambe,Maria (Christian's sister),0.11314,2,0.40825,0.2662
Maria (Christian's sister),Pavel,0.11314,2,0.57735,0.2662
Maximilian,Myrtle,0.1125,1,1.0,0.2654
Maximilian,Tyrone Slothrop,0.1125,1,0.14744,0.2654
Blodgett Waxwing,Katje Borgesius,0.11243,5,0.43355,0.2653
Gerhardt von Göll,Pirate Prentice,0.1122,5,0.26352,0.2651
Gerhardt von Göll,Gustav,0.11156,3,0.3,0.2643
Katje Borgesius,Laszlo Jamf,0.11155,4,0.19565,0.2643
Gottfried,Greta Erdmann,0.11125,3,0.32733,0.2639
Claire,Jerome / Jeremy,0.11111,1,0.37796,0.2638
Claire,Mrs. Elizabeth Slothrop,0.11111,1,0.70711,0.2638
Jerome / Jeremy,Mrs. Elizabeth Slothrop,0.11111,1,0.26726,0.2638
Jerome / Jeremy,Penelope,0.11111,1,0.26726,0.2638
Jessica Swanlake,Mrs. Elizabeth Slothrop,0.11111,1,0.2132,0.2638
Mrs. Elizabeth Slothrop,Penelope,0.11111,1,0.5,0.2638
Mrs. Elizabeth Slothrop,Roger Mexico,0.11111,1,0.16667,0.2638
Andreas Orukambe,Joseph Ombindi,0.10996,3,0.53033,0.2624
Lyle Bland,Tchitcherine,0.10973,3,0.26726,0.2621
Laszlo Jamf,Margherita Erdmann,0.10971,4,0.26968,0.2621
Edwin Treacle,Ernest Pudding,0.10961,3,0.42426,0.262
Gerhardt von Göll,Thanatz,0.10953,6,0.3873,0.2619
Hilary Bounce,Roland,0.10909,1,0.28868,0.2614
Ludwig,Tantivy Mucker-Maffick,0.10909,1,0.13608,0.2614
Dr. Rollo Groast,Roger Mexico,0.10855,5,0.48113,0.2607
Malcolm / Red (Roseland shoeshine boy),Tyrone Slothrop,0.10833,2,0.20851,0.2605
Katje Borgesius,Sammy Hilbert-Spaess,0.10723,2,0.32444,0.2591
Sammy Hilbert-Spaess,Stephen Dodson-Truck,0.10723,2,0.57735,0.2591
Katje Borgesius,Peter Sachsa,0.10614,3,0.24333,0.2578
Dr. Rollo Groast,Ernest Pudding,0.10603,3,0.3873,0.2577
Seaman Bodine,Weissmann / Blicero,0.10581,2,0.14213,0.2574
